location,indicator,subject,measure,frequency,time,health_spending_per_cap,Flag Codes,life_expect_birth,country
DNK,HEALTHEXP,TOT,USD_CAP,A,1989,1445.2483,,75,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1989,1161.1685,,75,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1989,1609.1452,,75.4,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1989,776.5848,,77,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1989,1619.7326,,78.2,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1989,685.567,,74.5,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1989,1151.0907,,76.9,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1989,1051.3848,D,78.8,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1989,1212.3951,,76.9,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1989,1060.1685,,76.7,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1989,573.3407,,74.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1989,734.8665,,77,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1989,1389.4044,,77.8,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1989,1864.637,,77.7,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1989,120.8851,,65.7,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1989,845.3638,,75.4,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1989,2440.0611,,75.1,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1990,1154.0445,,77,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1990,1507.933,B,75.7,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1990,1354.4443,D,76.1,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1990,1691.9502,,77.6,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1990,1510.6198,,74.9,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1990,1297.9226,,75,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1990,1401.3391,,76.9,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1990,1721.5143,,75.3,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1990,804.2656,,77.1,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1990,1610.2953,,78.1,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1990,750.5787,,74.9,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1990,1281.8826,,77.1,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1990,1116.7064,D,78.9,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1990,1330.9081,,77,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1990,1291.4821,,76.7,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1990,616.9194,,74.1,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1990,835.3369,,77,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1990,1456.7809,,77.7,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1990,1968.0406,,77.5,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1990,144.1129,,67.5,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1990,887.939,,75.7,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1990,2700.3541,,75.3,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1991,1229.3906,,77.4,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1991,1608.9806,,75.7,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1991,1481.8642,D,76.3,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1991,1828.6897,,77.8,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1991,1559.0867,,75.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1991,1439.3798,,75.5,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1991,1496.4002,,77,France
GRC,HEALTHEXP,TOT,USD_CAP,A,1991,826.0974,,77.3,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1991,1680.0298,,78.1,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1991,849.226,,75.1,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1991,1388.9875,,77.1,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1991,1195.9912,D,79.1,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1991,1433.0591,,77.2,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1991,1422.3816,,77.1,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1991,730.1072,,74.1,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1991,910.1406,,77.2,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1991,1475.3174,,77.9,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1991,2152.7988,,77.8,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1991,167.3948,D,67.8,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1991,973.4494,,75.9,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1991,2915.9548,,75.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1992,1307.222,,77.5,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1992,1724.7343,,75.9,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1992,1569.6355,D,76.5,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1992,1916.4154,,78,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1992,1623.3337,,75.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1992,1449.2851,,75.7,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1992,1589.4552,,77.3,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1992,1907.9949,B,76,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1992,923.8069,,77.2,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1992,1683.0547,,78.8,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1992,929.9279,,75.5,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1992,1405.525,,77.5,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1992,1283.3253,D,79.2,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1992,1522.2756,,77.4,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1992,1528.9346,,77.4,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1992,773.8947,,74.7,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1992,992.3218,,77.6,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1992,1541.0065,,78.2,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1992,2277.882,,78,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1992,175.4861,D,68.2,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1992,1078.9976,,76.3,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1992,3113.8468,,75.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1993,1381.1135,,78,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1993,1874.6122,,76.2,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1993,1611.0269,D,76.5,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1993,1724.5152,,75.2,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1993,1347.9213,B,75.8,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1993,1688.2812,,77.4,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1993,1915.2877,,76.1,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1993,1038.1708,,77.6,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1993,1747.6494,,79,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1993,980.4917,,75.3,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1993,1419.7029,,77.8,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1993,1371.3138,D,79.4,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1993,1588.271,,77.1,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1993,1574.586,B,77.3,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1993,808.5116,,74.6,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1993,1048.008,,77.8,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1993,1585.7975,B,78.2,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1993,2329.2126,,78.4,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1993,186.8433,D,68.5,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1993,1144.029,,76.2,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1993,3299.9756,,75.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1994,1470.8096,,78,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1994,2041.3374,,76.5,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1994,1648.9681,D,76.8,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1994,1997.0656,,78,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1994,1802.2229,,75.5,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1994,1325.3603,,76.6,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1994,1755.1099,,77.7,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1994,2049.6612,,76.4,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1994,1180.6036,,77.8,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1994,1792.7196,,79.3,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1994,1037.9826,,75.9,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1994,1448.6155,,78,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1994,1469.0998,D,79.8,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1994,1634.1205,,77.5,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1994,1659.9261,,77.9,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1994,828.1529,,75.5,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1994,1081.2951,,78.1,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1994,1588.781,,78.9,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1994,2411.0169,,78.6,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1994,172.3677,D,68.9,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1994,1227.6224,,76.8,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1994,3441.9579,,75.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1995,1554.7982,,77.9,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1995,2120.4786,,76.8,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1995,1710.4518,B,77,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1995,2001.2318,,78,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1995,1814.5633,,75.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1995,1418.182,,76.6,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1995,2037.6149,B,77.9,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1995,2185.1405,,76.6,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1995,1224.2709,,77.8,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1995,1851.5667,,78.1,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1995,1124.7885,,75.6,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1995,1507.7006,B,78.3,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1995,1469.5138,,79.6,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,1995,2282.8814,D,76.8,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,1995,1691.0385,,77.6,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1995,1750.8758,,77.9,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1995,984.1816,B,75.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1995,1157.1153,,78.1,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1995,1659.0003,,79,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1995,2561.8827,B,78.7,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1995,172.7806,D,69.3,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1995,1273.7345,,76.7,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1995,3598.3956,,75.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1996,1645.0156,,78.2,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1996,2188.0253,,77,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1996,1804.5439,,77.3,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1996,2001.8672,,78.2,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1996,1916.8516,,75.7,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1996,1481.5893,,76.9,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1996,2097.941,,78.1,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1996,2312.0275,,76.9,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1996,1263.2468,,78,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1996,1935.7508,,78.9,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1996,1183.9985,,75.9,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1996,1576.9319,,78.6,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1996,1501.2085,,80.3,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,1996,2394.4814,D,76.8,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,1996,1758.7704,,77.6,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1996,1910.4081,,78.3,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1996,1056.8077,,75.3,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1996,1215.5878,,78.3,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1996,1768.8161,,79.2,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1996,2729.1252,,79.1,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1996,214.7436,D,69.7,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1996,1351.1875,,76.9,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1996,3747.6148,,76.1,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1997,1730.7444,,78.5,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1997,2298.8535,,77.4,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1997,1849.8923,,77.5,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1997,2097.9041,,78.3,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1997,1990.2833,,76.1,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1997,1538.6158,,77.1,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1997,2162.0783,,78.4,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1997,2335.1543,,77.3,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1997,1312.5507,,78.4,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1997,2061.6143,,79,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1997,1291.4988,,76.1,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1997,1692.9319,,78.9,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1997,1607.6141,,80.5,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,1997,2402.6437,D,77,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,1997,1822.439,,78,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1997,2204.6489,B,78.3,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1997,1115.4084,,75.8,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1997,1263.021,,78.8,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1997,1793.1756,,79.4,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1997,2840.3597,,79.3,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1997,249.5353,D,70.1,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1997,1398.7175,B,77.2,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1997,3906.5102,,76.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1998,1858.2922,D,78.7,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1998,2452.2438,,77.8,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1998,1920.7638,,77.6,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1998,2245.9346,,78.5,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1998,2009.4111,,76.5,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1998,1587.6046,,77.3,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1998,2246.3048,,78.7,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1998,2405.8643,,77.7,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1998,1336.0581,,78.4,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1998,2410.4274,,79.7,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1998,1381.3734,,76.3,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1998,1792.3389,,79.1,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1998,1656.82,,80.6,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,1998,2574.1903,D,77.3,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,1998,1961.6286,B,78,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1998,2354.4211,,78.5,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1998,1166.5307,,76,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1998,1340.5293,,78.9,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1998,1891.2871,,79.5,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1998,2977.7701,,79.6,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1998,294.7179,D,70.3,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1998,1470.5883,,77.3,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1998,4084.8368,,76.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1999,1986.4928,D,79,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1999,2587.061,,78,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1999,2047.9187,,77.7,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1999,2318.9571,,78.8,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1999,2297.6172,,76.6,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1999,1665.5525,,77.5,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1999,2336.1787,,78.9,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1999,2512.7486,,77.9,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,1999,1417.803,,78.5,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,1999,2601.1358,,79.4,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1999,1483.2093,,76.2,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,1999,1845.6069,,79.5,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,1999,1765.9755,,80.5,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,1999,2983.2628,,77.9,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,1999,2076.1574,,77.9,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1999,2565.0829,,78.4,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1999,1280.6509,,76.3,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1999,1406.4495,B,78.9,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1999,2015.6244,,79.6,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1999,3073.2264,,79.8,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1999,357.0304,B,70.7,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1999,1573.5414,,77.5,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1999,4291.5721,,76.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2000,2156.808,D,79.3,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2000,2726.4305,,78.2,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2000,2245.8634,,77.8,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2000,2422.0817,,79,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2000,2395.5167,,76.9,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2000,1816.4327,B,77.7,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2000,2484.1715,,79.2,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2000,2612.5703,,78.2,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2000,1396.9074,,78.6,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2000,2672.9878,,79.7,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2000,1749.0146,,76.6,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2000,2019.4276,,79.9,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2000,1914.8514,,81.2,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2000,3466.2675,B,78,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2000,2224.7504,,78.2,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2000,2836.1297,,78.8,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2000,1494.6821,B,76.9,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2000,1490.642,,79.4,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2000,2177.5321,,79.7,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2000,3221.7795,,79.9,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2000,423.9505,,71.1,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2000,1718.608,,77.9,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2000,4558.9524,,76.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2001,2271.4553,D,79.7,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2001,2772.9361,,78.7,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2001,2366.5965,,78.1,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2001,2609.2285,,79.3,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2001,2555.382,,77,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2001,1930.9554,,78.2,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2001,2657.6867,,79.3,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2001,2730.1828,,78.5,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2001,1669.485,,79.1,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2001,2783.3467,,80.8,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2001,2034.3981,,77.2,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2001,2194.4551,,80.2,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2001,2019.8249,,81.5,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2001,3792.6746,,77.9,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2001,2441.0229,,78.3,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2001,3030.9077,B,78.9,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2001,1562.2151,,77.2,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2001,1574.9689,,79.8,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2001,2395.6745,B,79.9,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2001,3429.1233,,80.4,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2001,433.5375,,71.5,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2001,1901.332,,78.2,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2001,4910.6156,,76.8,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2002,2426.4793,D,80,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2002,2942.5631,,78.8,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2002,2542.4562,,78.2,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2002,2742.4513,,79.5,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2002,2749.7927,,77.1,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2002,2100.2576,,78.3,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2002,2852.5993,,79.4,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2002,2869.9629,,78.5,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2002,1870.597,,79.2,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2002,3078.4478,,80.6,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2002,2298.9631,,77.7,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2002,2202.0358,,80.3,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2002,2104.6727,,81.8,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2002,4223.3167,,78.1,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2002,2700.5099,,78.4,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2002,3398.0379,,79,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2002,1654.4182,,77.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2002,1677.5396,,79.9,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2002,2574.7376,,79.9,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2002,3672.9233,,80.6,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2002,453.351,,71.9,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2002,2060.468,,78.3,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2002,5327.8052,,76.9,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2003,2546.2803,D,80.3,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2003,3085.9336,,78.7,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2003,2822.6807,B,78.2,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2003,2913.6997,,79.7,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2003,2784.0652,B,77.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2003,2219.4643,,78.5,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2003,2828.4727,B,79.2,France
